"","Table","Field","Display_Name","Field_Description","Data_Type"
"1","Pub.Out","B.Code","ERA Publication Code","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"2","Pub.Out","B.Author.Last","Author Last Name","Publication first author's surname.","Character"
"3","Pub.Out","B.Date","Year Published","The year of publication.","Integer  (YYYY)"
"4","Pub.Out","B.Journal","Journal","Name of journal this research is published in.","Character"
"5","Pub.Out","B.DOI","DOI","Digital object identifier (DOI) for the publication (e.g. 10.1080/03650340.2017.1411589). Do not include https://doi.org/ when entering this. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://doi.org/10.1002/jrsm.1563”.
If there is no DOI for a publication then report the https address of the article.","Character"
"6","Pub.Out","B.Url","Website","For a publication with no DOI, please enter the full website address where it can be found.","Character"
"7","Pub.Out","B.Project","Project","Name the project of the current extraction round","Character"
"8","Pub.Out","B.Link1","Linked Publication DOI/Website 1","Publications that are referenced in this publication that may present results from the same experiment.","Character"
"9","Pub.Out","B.Link2","Linked Publication DOI/Website 2","Publications that are referenced in this publication that may present results from the same experiment.","Character"
"10","Pub.Out","B.Link3","Linked Publication DOI/Website 3","Publications that are referenced in this publication that may present results from the same experiment.","Character"
"11","Pub.Out","B.Link4","Linked Publication DOI/Website 4","Publications that are referenced in this publication that may present results from the same experiment.","Character"
"12","Site.Out","Site.Type","What is the context of the experiment?","This describes the nature of the field and who is managing it","Character"
"13","Site.Out","Country","Country","Country where the study is performed","Character"
"14","Site.Out","Site.ID","Site Name","If  you select a site name that already exists in ERA, the latitude and longitude fields will auto-populate. Please check the auto-generated co-ordinates against the ones reported in the publication and in GoogleMaps/Earth. If there is a mismatch you can overwrite the autogenerated values.","Character"
"15","Site.Out","Site.Admin","How is the location reported?","A qualitative measure of how accurate you think the location reporting is. If the study is at a research station, but we only know the location of the city where the station is,  we record ""City"". If we know the exact location of the station record ""Facility"".","Character"
"16","Site.Out","Site.Agg","Does the location contain sub-locations?","State yes if a paper reports a general location which contains sub-locations that you do not know the co-ordinates of. For example a paper might state ""we repeated the experiment on 10 farms in 5 villages in Busia county, Kenya"" so we have a county location and know there are 5 village sub-locations in this county, we don't know where these villages are and results are reported averaged across all the farms and villages. If we know the location or names of the villages (e.g. results are reported per village) then we create one site per village and state ""no"" in this field.","Character"
"17","Site.Out","ISO.3166.1.alpha.3","Enter the Iso Code of the Country","Three letters code for countries","Character"
"18","Site.Out","Site.LatD","Latitude (Decimal Degrees)","Longitude and latitude are geographic coordinates that specify the position of a point on the Earth's surface, with longitude measuring east-west position and latitude measuring north-south position","Numeric"
"19","Site.Out","Site.Lat.Unc","Latitude Uncertainty (m)","An important field used where a location is a region (e.g. a county or district polygon) which has a bounding box that is more rectangular than square (if square then just used the Uncertainty (Radius in m) field). Give the height of the region NAMITA IS THIS THE TOTAL HEIGHT OR HALF THE HEIGHT in meters?","Numeric"
"20","Site.Out","Site.LonD","Longitude (Decimal Degrees)","Longitude and latitude are geographic coordinates that specify the position of a point on the Earth's surface, with longitude measuring east-west position and latitude measuring north-south position","Numeric"
"21","Site.Out","Site.Lon.Unc","Longitude Uncertainty (m)","An important field used where a location is a region (e.g. a county or district polygon) which has a bounding box that is more rectangular than square (if square then just used the Uncertainty (Radius in m) field). Give the width of the region NAMITA IS THIS THE TOTAL HEIGHT OR HALF THE HEIGHT in meters?","Numeric"
"22","Site.Out","Site.Buffer.Manual","Uncertainty (Radius in m)","An important field used to indicate spatial uncertainty where a location is a point or a region  (e.g. a county or district polygon) with a square bounding box. Give the radius of uncertainty in meter for the point or region (so the distance from the centre of the region or study plot to the edge). If the study site is a research station you take the centre of the research station to the edge of the station.","Numeric"
"23","Site.Out","Site.Rain.Seasons","Number of Rainy Seasons","Number of rainy seasons","Integer"
"24","Site.Out","Site.Start.S1","Season1 Start","start date of the first season","Character"
"25","Site.Out","Site.End.S1","Season1 End","end date of the first season","Character"
"26","Site.Out","Site.Length.S1","Rainy  Season 1 Length (days)","Length of the first season","Integer"
"27","Site.Out","Site.Start.S2","Season2 Start","start date of the second season","Character"
"28","Site.Out","Site.End.S2","Season2 End","end date of the second season","Character"
"29","Site.Out","Site.Length.S2","Rainy Season 2 Length (days)","length of the second season","Integer"
"30","Site.Out","Site.MSP.S1","Mean Seasonal Precipitation (mm) - S1","Mean Precipitation for the first season","Integer"
"31","Site.Out","Site.MSP.S2","Mean Seasonal Precipitation (mm) - S2","Mean Precipitation fot the second season","Integer"
"32","Site.Out","Site.MAP","Mean Annual Rainfall (mm)","This field is used to report the long-term avergae mean annual rainfall of the location. Rainall that is reported for a specific season or year during the experiment should be recorded in the times tab","Integer"
"33","Site.Out","Site.MAT","Mean Annual Temperature (°C)","This field is used to report the long-term avergae mean annual temperature of the location. Temperature that is reported for a specific season or year during the experiment should be recorded in the times tab","Integer"
"34","Site.Out","Site.Elevation","Elevation (masl)","Elevation in meters above sea level","Integer"
"35","Site.Out","Site.Slope.Perc","Slope (%)","Slope of the site in %","Numeric"
"36","Site.Out","Site.Slope.Degree","Slope (°)","Slope of the site in °","Numeric"
"37","Site.Out","Site.Soil.Texture","Soil Texture","Texture of the soil site","Character"
"38","Site.Out","Site.Notes","Site.Notes",NA,"Character"
"39","Site.Out","B.Code","NA","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"40","Soil.Out","Site.ID","Site Name","If you select a site name that already exists in ERA, the latitude and longitude fields will auto-populate. Please check the auto-generated co-ordinates against the ones reported in the publication and in GoogleMaps/Earth. If there is a mismatch you can overwrite the autogenerated values.","Character"
"41","Soil.Out","Soil.Upper","Depth (cm) Upper","The upper limit of depth at which soil samples are collected for analysis of soil properties such as texture, pH, and nutrient content.","Numeric"
"42","Soil.Out","Soil.Lower","Depth (cm) Lower","The lower limit of depth at which soil samples are collected for analysis of soil properties such as texture, pH, and nutrient content. The lower depth will be greater than the upper depth","Numeric"
"43","Soil.Out","variable","Soil variable measured","Select the variable measured on soil","Character"
"44","Soil.Out","value","Value of the measured variable","Enter the measure of the soil variable","Numeric"
"45","Soil.Out","Unit","Unit of the value of the measured variable","Unit of the soil variable","Character"
"46","Soil.Out","Method","Method for the measured variable","Method to measure the soil variable","Character"
"47","ExpD.Out","EX.Design","Experimental Design","A plan specification that states how treatments are allocated to the experimental units during an agronomic trial. It refers to the conceptual framework within which the experiment is conducted. Source: AGRO","Character"
"48","ExpD.Out","EX.Plot.Size","Size of Experimental Plot (m2)","The size of a treatment plot in the experiment, if variable use the mean value or mid-point of the size range.","Numeric"
"49","ExpD.Out","EX.HPlot.Size","Size of Harvested Plot (m2)","The area of an treatment plot harvested to estimate crop yields (or other outcomes if crop yield was not the primary focus of the experiment).","Numeric"
"50","ExpD.Out","EX.Notes","Design & Previous Management Notes","Copy details about experimental design and previous management here. Previous management describes the study site before the experiment began.","Character"
"51","ExpD.Out","B.Code","NA","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"52","Times.Out","B.Code","NA","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"53","Times.Out","Time","Time Period Name",NA,"Character"
"54","Times.Out","Time.Start.Year","Year Start as stated by the author","year when the experiment started","Numeric"
"55","Times.Out","Time.End.Year","Year Start as stated by the author","year when the experiment stopped","Numeric"
"56","Times.Out","Time.Season","Season as stated by the author",NA,"Character"
"57","Times.Clim","B.Code","NA","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"58","Times.Clim","Site.ID","Site Name",NA,"Character"
