"LTE.ID","Site.ID","Code","Year.start","Year.end","Number of sites","Notes","Treatments","Version","DOI","Available in Saito","Latitude","Longitude"
"LTE0003","Adigudem","DK0054",2005,"2011","1",,,2020,"10.1016/j.still.2016.05.011",,13.2333,39.5333
"LTE0103","Africa Rice, Fanaye","JS0104",1991,"2008","2","JS0104 has data from 1991 to 2000","NPK treatments",2018,"10.1016/s0378-4290(03)00153-9","YES",16.5352,-15.1922
"LTE0103","Africa Rice, Fanaye","JS0102",1991,"2008","2","JS0104 has data from 1991 to 2000","NPK treatments",2018,"10.1007/s10705-010-9355-7","YES",16.5352,-15.1922
"LTE0103","Africa Rice, Ndiaye","JS0104",1991,"2008","2","JS0104 has data from 1991 to 2000","NPK treatments",2018,"10.1016/s0378-4290(03)00153-9","YES",16.233,-16.233
"LTE0103","Africa Rice, Ndiaye","JS0102",1991,"2008","2","JS0104 has data from 1991 to 2000","NPK treatments",2018,"10.1007/s10705-010-9355-7","YES",16.233,-16.233
"LTE0007","Andranomanelatra","NN0148",1991,"2003","1",,,2018,"10.1016/j.still.2007.10.012",,-19.7833,47.1
"LTE0104","ARC Small Grain, Bethlehem","NN0168",1979,"2010","1",,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2018,"10.1007/s10705-012-9529-6",,-28.1619,28.3061
"LTE0104","ARC Small Grain, Bethlehem","LM0119",1979,"2010","1",,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2018,"10.1016/s0167-1987(01)00227-6",,-28.1619,28.3061
"LTE0104","ARC Small Grain, Bethlehem","EO0058",1979,"2010","1",,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2020,"10.1080/00103624.2013.867060",,-28.1619,28.3061
"LTE0104","ARC Small Grain, Bethlehem","NJ0089",1979,"2010","1",,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2020,"10.1071/SR18050",,-28.1619,28.3061
