issue,LTE.ID,Site.ID,Code,Year.start,Year.end,Number of sites,Notes,Treatments,Version,DOI,Available in Saito,Latitude,Longitude
malformed row,"smallholder farming areas (4% clay). ""","tillage systems, conventional tillage (CT), clean reaping (CR) and mulch reaping (MR), were established in  a randomised block design experiment that was replicated 3  times.",2018,10.4314/wsa.v38i2.8,NA,-17.607,31.141,NA,NA,NA,NA,NA,NA
malformed row,tilizer applied at the start of the experiment only 4. Residue applied and the recommended NP fertilizer applied at the start of the experiment only 5. Residue applied and half the recommended level of NP fertilizer each year 6. Residue applied and the recommended level of NP fertilizer each year 7. NP fertilizer each year at half the recommended level,no residue 8. NP fertilizer each year at the recommended level,"no residue.""",2018,10.1023/a:,NA,NA,NA,NA,NA,NA,NA,NA
malformed row,tilizer applied at the start of the experiment only 4. Residue applied and the recommended NP fertilizer applied at the start of the experiment only 5. Residue applied and half the recommended level of NP fertilizer each year 6. Residue applied and the recommended level of NP fertilizer each year 7. NP fertilizer each year at half the recommended level,no residue 8. NP fertilizer each year at the recommended level,"no residue.""",2018,10.1023/a:,NA,NA,NA,NA,NA,NA,NA,NA
malformed row,ploughing with continuous maize (referred to in the text as conventional tillage),"(2) direct seeding with a Fitarelli jab planter and continuous maize (referred to in the text as direct seeding with continuous maize) and (3) direct seeding with a Fitarelli jab planter with rotation of maize/sunn hemp""",2020,10.1007/s00248-016-0807-8,NA,-17.583,30.967,NA,NA,NA,NA,NA,NA
code not in ERA compiled,LTE0027,Daqahlia..Sharkia,AG0121,2010,2014,1,NA,NA,2020,www.sphinxsai.com/2016/ch_vol9_no10/1/(20-30)V9N10CT.pdf,NA,31.05905,31.58804
code not in ERA compiled,LTE0043,"IAR/Amadu Bello University, Shika Farm",HK0161.1,1998,2004,2,NA,NA,2018,10.1007/s10705-008-9174-2,NA,11.118,7.617
code not in ERA compiled,LTE0116,"ICRISAT Sahelian Centre, Sadore",NN0070.1,1983,2007,1,NA,"crop residues, crop residues + fertilizers,  control, fertilizer",2018,10.1007/s10705-010-9402-4,NA,13.2343,2.284
code not in ERA compiled,LTE0043,"IITA, Ibadan",HK0161.1,1998,2004,2,NA,Four treatments consisting of combinations of nitrogen rates and leucaena pruining,2018,10.1007/s10705-008-9174-2,NA,7.498,3.903
code not in ERA compiled,LTE0143,"KARI, Katumani (ICRAF Machakos)",LM0279,1991,1996,1,NA,"a sole crop [Cg] treatment, with maize planted in rows 1 m apart, approximately 0.3 m between plants in a row",NA,NA,NA,NA,NA
code not in ERA compiled,LTE0136,"INRA, Settat",AF0001,1987,1998,NA,NA,notillage (NT) and conventional tillage (CT),NA,10.1111/j.1475-2743.2003.tb00294.x,NA,32.954,-7.625
code not in ERA compiled,LTE0142,Domboshawa Training Centre,AC0047,NA,NA,NA,multiple sites,"(a) conventional management with soil tillage and crop residue removal (CT); and (b) no-tillage and crop residue retention (NT). Sub-treatments for these trials, but not used in this study,",NA,10.1017/S1742170521000442,NA,-17.607,31.141
code not in ERA compiled,LTE0142,University of Zimbabwe Farm,AC0047,NA,NA,NA,multiple sites,"(a) conventional management with soil tillage and crop residue removal (CT); and (b) no-tillage and crop residue retention (NT). Sub-treatments for these trials, but not used in this study,",NA,10.1017/S1742170521000442,NA,-17.7242,31.0199
