Site.Key,M.Year,Product.Simple,Plant.Start,Plant.End,reason,n_rows
-0.0849 36.3803 B7500,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,Potato,NA,NA,aggregated M.Year,2
-0.0870 37.6640 B1000,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,Potato,NA,NA,aggregated M.Year,3
-0.1205 34.7454 B3000,2006 LR,Maize-Tephrosia candida,2006-03-01,2006-03-31,no climate row for this key,4
-0.1631 35.7057 B15000,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,Potato,NA,NA,aggregated M.Year,2
-0.3671 35.1759 B10000,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,Potato,NA,NA,aggregated M.Year,2
-0.4292 37.4744 B7500,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,Potato,NA,NA,aggregated M.Year,3
-0.4310 34.2080 B200,2004.2,Maize,2004-10-01,2004-10-30,no climate row for this key,6
-0.4310 34.2080 B200,2005.1,Common Bean-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.1,Cowpea-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.1,Groundnut-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.1,Maize-Mung Bean,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.2,Common Bean-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.2,Cowpea-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.2,Groundnut-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2005.2,Maize,2006-10-01,2006-10-31,no climate row for this key,6
-0.4310 34.2080 B200,2005.2,Maize,NA,NA,no planting date,15
-0.4310 34.2080 B200,2005.2,Maize-Mung Bean,NA,NA,no planting date,5
-0.4310 34.2080 B200,2006.1,Common Bean-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2006.1,Cowpea-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2006.1,Groundnut-Maize,NA,NA,no planting date,5
-0.4310 34.2080 B200,2006.1,Maize-Mung Bean,NA,NA,no planting date,5
-0.4310 34.2080 B200,2006.2,Common Bean-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2006.2,Cowpea-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2006.2,Groundnut-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2006.2,Maize-Mung Bean,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.1,Common Bean-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.1,Cowpea-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.1,Groundnut-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.1,Maize,2009-03-01,2009-03-31,no climate row for this key,6
-0.4310 34.2080 B200,2007.1,Maize,NA,NA,no planting date,7
-0.4310 34.2080 B200,2007.1,Maize-Mung Bean,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.2,Common Bean-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.2,Cowpea-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.2,Groundnut-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2007.2,Maize-Mung Bean,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.1,Common Bean-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.1,Cowpea-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.1,Groundnut-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.1,Maize-Mung Bean,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.2,Common Bean-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.2,Cowpea-Maize,NA,NA,no planting date,1
-0.4310 34.2080 B200,2008.2,Groundnut-Maize,NA,NA,no planting date,1
